1,3,283.0
2,1,250.0
3,4,250.0
4,1,450.0
5,1,399.0
6,5,284.0
7,3,267.0
8,2,283.0
9,3,283.0
10,5,267.0
11,5,283.0
12,4,317.0
13,3,286.0
14,3,285.0
15,2,316.0
16,1,316.0
17,5,299.0
18,1,417.0
19,4,283.0
20,5,317.0
21,1,317.0
22,2,319.0
23,1,300.0
24,4,300.0
25,1,452.0
26,4,284.0
27,4,349.0
28,3,332.0
29,1,335.0
30,2,300.0
31,5,316.0
32,2,350.0
33,5,432.0
34,3,268.0
35,4,267.0
36,5,301.0
37,3,498.0
38,5,333.0
39,4,383.0
40,2,349.0
41,4,300.0
42,5,301.0
43,1,351.0
44,3,333.0
45,3,283.0
46,2,333.0
47,2,251.0
48,2,268.0
49,4,251.0
50,2,266.0
